names,addresses,awb,product_id,EDD
Daniel Walker,"#2 2main 6th cross Maruthi layout, Tavarekere, Narayanappa Garden, BTM 1st Stage, Bengaluru, Karnataka 560029",74713151515,SKU_142,12-02-2023
Lorraine Lugones,"1/1, First Floor, 100 Feet Ring Road, Near Water Tank, BTM 1st Stage, Bengaluru, Karnataka 560029",70872702849,SKU_68,11-02-2023
Katie Law,"776, 775, 16th Main Rd, BTM 2nd Stage, Kuvempu Nagar, Stage 2, BTM Layout, Bengaluru, Karnataka 560076",47492322829,SKU_49,11-02-2023
Edna Anderson,"# 743 7th Cross, 13th Main Rd, opp. Pizza hut, BTM 2nd Stage, Bengaluru, Karnataka 560076",28822995105,SKU_102,11-02-2023
Stephanie Notice,"313, 24th Main Rd, JP Nagar 6th Phase, Krishna Devaraya Nagar, Yelachenahalli, J. P. Nagar, Bengaluru, Karnataka 560078",15482695251,SKU_21,11-02-2023
Mark Walker,"WJC7+PV9, Old Madiwala, Chikka Madivala, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068",90237847420,SKU_92,11-02-2023
Laura Newton,"No.11, 24th Main Rd, 5th Phase, Ayodya Nagar, J P Nagar Phase 5, J. P. Nagar, Bengaluru, Karnataka 560078",43553490178,SKU_135,11-02-2023
Eric Gomez,"No.419, 9th Main, 24th Cross, Banashankari 2nd Stage, Bengaluru, Karnataka 560070",24259013135,SKU_118,11-02-2023
Ronald Harper,"43, Christ Ln, near Christ University, Koramangala Industrial Layout, BTM Layout, Bengaluru, Karnataka 560029",36417418389,SKU_85,11-02-2023
Mary Monroe,"WJ84+VR6, 9th A Main Rd, KEB Colony, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029",36715206946,SKU_126,11-02-2023
Sylvia Crimmins,"83, EWS Colony, Stage 2, BTM Layout, Bengaluru, Karnataka 560076",66934284803,SKU_111,11-02-2023
Edna Gipe,"No. 56, Shobha Arcade, Begur-Koppa Main Road, Begur Woods Layout, Yelenahalli, Bengaluru, Karnataka 560068",86979229905,SKU_119,12-02-2023
Cecilia Garlock,"#6,16th main , btm 2satge, Near post office,, Bengaluru, Karnataka 560076",59768148078,SKU_143,11-02-2023
Wanda Anderson,"Sri Devi Complex, #69/1, yadiyur circle, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",46542712182,SKU_63,13-02-2023
Kenneth Rousseau,"#7/43,1st Floor, 3rd cross, 4th main, Kaverappa Compound, NS Palya, Stage 2, Bengaluru, Karnataka 560076",85739707699,SKU_39,11-02-2023
Teresa Hall,"55, 3rd floor, 15th cross, 19th Main St, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",68448240872,SKU_142,11-02-2023
John Franklin,"100 Feet Ring Road, 67, 35th Main Rd, BTM 2nd Stage, Bengaluru, Karnataka 560076",32825920537,SKU_128,11-02-2023
Mark Alexander,"21/22, 24th Main, 50 Feet Road, Opp. Vijaya Bank, T-Block, 1st phase Girinagar, Bengaluru, Karnataka 560085",41332522541,SKU_14,11-02-2023
Sheila Clark,"45, 100 Feet Ring Rd, opposite to mandovi motors, JP Nagar 4th Phase, Dollar Layout, Phase 4, J. P. Nagar, Bengaluru, Karnataka 560078",19324230187,SKU_135,11-02-2023
Julio Mathew,"First Floor, #17, 16th Main Road, 17/4, 10th Cross Rd, Near Apollo Pharmacy, BTM 1st Stage, Bengaluru, Karnataka 560029",97551938741,SKU_68,11-02-2023
Timothy Comeau,"2631, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",12361475647,SKU_72,12-02-2023
David Kernan,"138/2, Phase 2, R K Colony, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",48969014383,SKU_109,11-02-2023
Anna Stokes,"29th Main Rd, BTM 2nd Stage, Mahadeshwara Nagar, Stage 2, BTM Layout, Bengaluru, Karnataka 560076",99705090544,SKU_135,13-02-2023
Dale Crabtree,"Hotel Ambient Turret 35/A 1st Main JP Nagar 3rd phase Mini forest, road, behind gopalan innovation mall, Bengaluru, Karnataka 560078",87167476862,SKU_44,11-02-2023
Robert Lee,"No. 25/1, 9th Cross, 2nd Phase, J. P. Nagar, opposite Lakshmi Venkateshwara Temple, Bengaluru, Karnataka 560078",65658522482,SKU_103,12-02-2023
Kenneth Marcus,"2A, 5 2, 16, 22nd Main Rd, Vinayaka Nagar, J P Nagar Phase 5, J. P. Nagar, Bengaluru, Karnataka 560078",63377580946,SKU_65,12-02-2023
Catherine Rios,"VP Rd, Old Madiwala, Madiwala, 1st Stage, BTM Layout, Bengaluru, Karnataka 560029",35569884384,SKU_87,13-02-2023
Francisco Alston,"WGRX+56P, 2B Cross Rd, Nagendra Block, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560085",32693377945,SKU_47,12-02-2023
Maude Prach,"64, 20th B Main Rd, Old Madiwala, Chikka Madivala, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560068",75549075674,SKU_4,12-02-2023
Michael Greeson,"17, Hosur Main Road, Chikku Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka 560029",53033516879,SKU_101,11-02-2023
Dianna Smith,"#1165, 6th Main Rd, 4th cross, BTM 4th Stage, 1st Block, Bommanahalli, Bengaluru, Karnataka 560076",12868761761,SKU_131,12-02-2023
Patrice Marshall,"18, 4th Main Rd, Mahadeshwara Nagar, Stage 2, Maruthi Nagar, Bengaluru, Karnataka 560076",60043016822,SKU_89,11-02-2023
Pauline Ashley,"1st Cross Rd, Zuzuvadi, Madiwala, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068",16649389980,SKU_130,13-02-2023
Katherine Brown,"3B/358,25th main, 22nd Cross Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",17577538990,SKU_115,13-02-2023
Ruth Doyle,"690/A, 15 Cross Road, 14th Main Road, Phase II, J P Nagar, Bengaluru, Karnataka 560078",76846863491,SKU_93,11-02-2023
Kent Robinson,"WJ77+M76, Banashankari Stage II, 3rd B Cross Rd, Kuvempu Nagar, Stage 2, Bengaluru, Karnataka 560076",27426944396,SKU_146,11-02-2023
Mack Laperle,"S No 23,Opp. Madivala Police Station, Hosur Rd, Madiwala, Bengaluru, Karnataka 560068",57124722941,SKU_62,11-02-2023
Linda Chavira,"#29, Tavarekere Main Road Koramangala Opp forum back gate Opp to Acropolis Apartments, behind Nexa Motors, Bengaluru, Karnataka 560029",46512046780,SKU_45,11-02-2023
Adam Canup,"32nd D Cross Road, 10, 10th B Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",68798516762,SKU_96,12-02-2023
Tracy Dabney,"13th Main Road, 746,1ST Floor, 7th Cross Rd, BTM 2nd Stage, Bengaluru, Karnataka 560068",44578835124,SKU_95,11-02-2023
Renee Rivenburg,"8th Main Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",42117472563,SKU_22,11-02-2023
James Arias,"WJ84+R9C, KEB Colony, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029",14183098365,SKU_1,12-02-2023
Lloyd Betts,"156A, 2nd Main Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560070",76752908845,SKU_109,12-02-2023
